event_ns,lane,note_id,stage,judgment,delay_ns
1001998276,11,0,calibration,perfect,1329585
1005000569,12,1,calibration,perfect,551953
1006998171,0,2,calibration,perfect,797868
1006998741,2,4,calibration,perfect,585547
1006999114,4,3,calibration,perfect,725870
1009002926,6,5,calibration,perfect,969117
1009003657,15,6,calibration,perfect,410652
1013999503,1,7,calibration,perfect,875680
1017001959,9,8,calibration,perfect,1029050
1021003594,7,9,calibration,perfect,707638
1021004764,8,10,calibration,perfect,435350
1024001694,3,11,calibration,perfect,1042589
1025002313,10,12,calibration,perfect,805480
1026997844,5,13,calibration,perfect,578301
1031000179,14,14,calibration,perfect,1258067
1031000820,13,15,calibration,perfect,851294
1041999507,11,16,calibration,perfect,216731
1050999070,4,17,calibration,perfect,917968
1057000351,15,18,calibration,perfect,963763
1060000158,2,19,calibration,perfect,964128
1060002434,0,20,calibration,perfect,700667
1060999003,9,21,calibration,perfect,947515
1063004266,6,22,calibration,perfect,896065
1063004897,12,23,calibration,perfect,803154
1064001832,7,24,calibration,perfect,537642
1072006668,8,25,calibration,perfect,1013152
1072999618,13,26,calibration,perfect,1166896
1073998513,14,27,calibration,perfect,1431892
1073999513,1,28,calibration,perfect,984585
1074000360,5,29,calibration,perfect,967245
1075004234,10,30,calibration,perfect,536290
1077002967,3,31,calibration,perfect,489361
1086000523,11,32,calibration,perfect,1216642
1092004410,4,33,calibration,perfect,411864
1100006300,2,34,calibration,perfect,344034
1101004444,15,35,calibration,perfect,994587
1102059732,0,37,calibration,perfect,493954
1102064982,9,36,calibration,perfect,572252
1103017685,12,38,calibration,perfect,246507
1109004564,7,39,calibration,perfect,1194507
1116003575,6,40,calibration,perfect,676666
1117002872,5,41,calibration,perfect,1118797
1119003283,8,42,calibration,perfect,1149559
1119004819,3,43,calibration,perfect,285246
1122000809,1,44,calibration,perfect,904260
1122001604,14,45,calibration,perfect,425847
1124003378,10,46,calibration,perfect,507909
1125002664,13,47,calibration,perfect,1085367
1125998637,11,48,calibration,perfect,835386
1134002620,4,49,calibration,perfect,484944
1141003459,15,50,calibration,perfect,516808
1142003986,9,51,calibration,perfect,277089
1142999298,2,52,calibration,perfect,964662
1147000277,12,53,calibration,perfect,951717
1147001111,0,54,calibration,perfect,410580
1152002284,7,55,calibration,perfect,472128
1160998624,8,56,calibration,perfect,623350
1163999688,5,58,calibration,perfect,393871
1164000431,6,57,calibration,perfect,503932
1170003164,1,59,calibration,perfect,1077563
1170004148,11,60,calibration,perfect,433835
1174003393,10,61,calibration,perfect,933773
1175002229,3,62,calibration,perfect,1320686
1184003376,2,63,calibration,perfect,846748
1186002967,9,64,calibration,perfect,568941
1192002503,12,65,calibration,perfect,346768
1194002219,13,66,calibration,perfect,542182
1196002281,0,67,calibration,perfect,860850
1196003036,4,68,calibration,perfect,857160
1200002422,14,69,calibration,perfect,833216
1203001976,15,70,calibration,perfect,865274
1208002087,7,71,calibration,perfect,1045862
1208002888,5,73,calibration,perfect,878373
1208003348,6,72,calibration,perfect,889962
1208003816,8,74,calibration,perfect,758955
1210999797,11,75,calibration,perfect,1088235
1214001288,1,76,calibration,perfect,1209435
1215000866,3,77,calibration,perfect,1006580
1220002721,10,78,calibration,perfect,1114893
1225002962,2,79,calibration,perfect,1021260
1227002181,9,80,calibration,perfect,721155
1234002801,13,81,calibration,perfect,529692
1240000914,12,82,calibration,perfect,1147458
1243000575,4,83,calibration,perfect,611674
1244002680,14,84,calibration,perfect,496230
1244003293,15,85,calibration,perfect,319055
1252002678,0,86,calibration,perfect,1331806
1259003629,7,87,calibration,perfect,254695
1264053843,10,88,calibration,perfect,1265281
1273999677,8,89,calibration,perfect,907879
1275005206,3,90,calibration,perfect,1209580
1275005930,11,91,calibration,perfect,517406
1277001087,2,92,calibration,perfect,1423000
1277999912,6,93,calibration,perfect,1184861
1281000169,1,94,calibration,perfect,1222614
1281000687,9,95,calibration,perfect,598316
1283003656,13,96,calibration,perfect,1100707
1284006359,5,97,calibration,perfect,765199
1285999899,14,98,calibration,perfect,1000353
1286000918,15,99,calibration,perfect,840578
1288003026,12,100,calibration,perfect,564556
1291031804,4,101,calibration,perfect,805369
1295999104,0,102,calibration,perfect,998849
1303001961,7,103,calibration,perfect,1096692
1306006840,10,104,calibration,perfect,408351
1315009621,8,105,calibration,perfect,458756
1317008798,11,106,calibration,perfect,410355
1321007636,6,107,calibration,perfect,619776
1322018424,9,108,calibration,perfect,597343
1324007170,13,109,calibration,perfect,1237646
1325007089,3,110,calibration,perfect,322384
1330008062,5,111,calibration,perfect,1337698
1335000083,14,112,calibration,perfect,1283140
1335000975,15,113,calibration,perfect,573594
1336006411,0,114,calibration,perfect,577579
1338011239,12,115,calibration,perfect,1051881
1340004931,4,116,calibration,perfect,1071472
1348041895,1,117,calibration,perfect,239889
1352999526,2,118,calibration,perfect,1106780
1354998768,7,119,calibration,perfect,1186681
1354999401,10,120,calibration,perfect,711885
1355998181,8,121,calibration,perfect,1038745
1359002001,11,122,calibration,perfect,1261578
1363998468,9,123,calibration,perfect,811327
1364997876,6,124,calibration,perfect,761130
1368002715,3,125,calibration,perfect,910684
1369998493,13,126,calibration,perfect,1048496
1372026657,5,127,calibration,perfect,795933
1375980180,15,128,calibration,perfect,1142220
1386998472,0,129,calibration,perfect,1005127
1394000066,12,130,calibration,perfect,909314
1396005109,2,131,calibration,perfect,764618
1397999944,7,132,calibration,perfect,930839
1401004152,14,133,calibration,perfect,778737
1402007411,10,134,calibration,perfect,1292143
1402008415,11,135,calibration,perfect,663654
1405004369,1,136,calibration,perfect,1168268
1405998058,9,137,calibration,perfect,347134
1406998307,8,138,calibration,perfect,499664
1409004541,4,139,calibration,perfect,1121372
1409005435,6,140,calibration,perfect,166998
1409999570,13,141,calibration,perfect,971133
1410999937,3,142,calibration,perfect,856488
1415998731,5,143,calibration,perfect,1038532
1415999482,15,144,calibration,perfect,593435
1426998522,0,145,calibration,perfect,981055
1435998220,12,146,calibration,perfect,333379
1436998230,2,147,calibration,perfect,684118
1443998340,14,148,calibration,perfect,462280
1448998854,1,149,calibration,perfect,1107630
1458001485,6,150,calibration,perfect,940073
1460004075,13,151,calibration,perfect,1204094
1460005324,10,152,calibration,perfect,1122242
1470000578,8,153,calibration,perfect,967313
1471001914,3,154,calibration,perfect,1087800
1474001470,7,155,calibration,perfect,1224517
1475005906,11,156,calibration,perfect,1313367
1475006881,9,157,calibration,perfect,480133
1477999960,12,158,calibration,perfect,476435
1478999824,4,159,calibration,perfect,955617
1479000937,15,160,calibration,perfect,878485
1479999698,0,161,calibration,perfect,435074
1480999891,5,162,calibration,perfect,192364
1494001200,2,163,calibration,perfect,924169
1498001472,14,164,calibration,perfect,887479
1498002145,6,165,calibration,perfect,821405
1498999779,1,166,calibration,perfect,426349
1505000582,13,167,calibration,perfect,1290824
1510001056,8,168,calibration,perfect,726683
1514000243,10,169,calibration,perfect,1138375
1514999753,7,170,calibration,perfect,823599
1517000418,3,171,calibration,perfect,733780
1520005505,4,172,calibration,perfect,502990
1523999854,9,173,calibration,perfect,437980
1527998425,15,174,calibration,perfect,1110158
1527999476,12,175,calibration,perfect,404547
1533000187,5,176,calibration,perfect,933742
1534000206,0,177,calibration,perfect,974296
1534000836,11,178,calibration,perfect,321436
1541001710,1,179,calibration,perfect,627328
1541002748,14,180,calibration,perfect,353687
1544001583,6,181,calibration,perfect,467143
1549999950,2,182,calibration,perfect,967144
1550000725,8,183,calibration,perfect,551635
1553002122,13,184,calibration,perfect,1088112
1554998875,10,185,calibration,perfect,1246516
1556007006,7,186,calibration,perfect,678599
1562998828,3,188,calibration,perfect,831449
1562999495,4,187,calibration,perfect,978756
1566000251,9,189,calibration,perfect,1445119
1570998811,15,190,calibration,perfect,661581
1572014580,12,191,calibration,perfect,1105773
1577000154,0,192,calibration,perfect,744731
1577000913,11,193,calibration,perfect,724174
1579000545,5,194,calibration,perfect,697657
1594000439,6,195,calibration,perfect,1134332
1594001303,1,196,calibration,perfect,581326
1595999587,10,197,calibration,perfect,737887
1597000509,7,198,calibration,perfect,339514
1598001941,14,199,calibration,perfect,1118505
1598002378,8,200,calibration,perfect,594320
1607999736,4,201,calibration,perfect,628896
1613001433,9,202,calibration,perfect,675122
1613002221,13,203,calibration,perfect,320357
1621000126,2,204,calibration,perfect,862842
1623000797,12,205,calibration,perfect,809241
1626999771,5,206,calibration,perfect,1399888
1631000506,15,207,calibration,perfect,983114
1643000388,10,208,calibration,perfect,790260
1643998614,6,209,calibration,perfect,1348551
1647001397,7,210,calibration,perfect,519183
1652999769,4,211,calibration,perfect,323283
1655004529,8,212,calibration,perfect,787680
1655005622,3,214,calibration,perfect,345932
1655006092,9,213,calibration,perfect,527770
1660999586,0,215,calibration,perfect,953199
1661999846,2,216,calibration,perfect,1109579
1662000630,14,217,calibration,perfect,966084
1662998408,1,218,calibration,perfect,609808
1664004306,13,219,calibration,perfect,1258118
1665999870,11,220,calibration,perfect,1211651
1666000546,12,221,calibration,perfect,574642
1671000039,15,222,calibration,perfect,507456
1676000047,5,223,calibration,perfect,1099748
1685999882,6,224,calibration,perfect,417766
1686000615,10,225,calibration,perfect,332465
1700005062,7,226,calibration,perfect,378060
1701000920,3,227,calibration,perfect,815039
1706000195,1,228,calibration,perfect,327580
1710000944,11,229,calibration,perfect,921758
1712999762,15,230,calibration,perfect,397719
1715999719,5,231,calibration,perfect,491069
1718005148,8,232,calibration,perfect,889011
1719999924,14,233,calibration,perfect,522028
1723999869,4,234,calibration,perfect,856565
1724999762,0,235,calibration,perfect,1349911
1725000505,12,236,calibration,perfect,733776
1726005446,2,237,calibration,perfect,742905
1726006378,13,238,calibration,perfect,662051
1730000266,10,239,calibration,perfect,1280602
1731999903,9,240,calibration,perfect,391281
1738001137,6,241,calibration,perfect,1134657
1740999634,3,242,calibration,perfect,598812
1744003143,7,243,calibration,perfect,347559
1747009173,1,244,calibration,perfect,1315475
1749999920,11,245,calibration,perfect,483298
1754004560,15,246,calibration,perfect,1061625
1760001290,8,247,calibration,perfect,536787
1763005172,5,248,calibration,perfect,399431
1769000264,12,249,calibration,perfect,469228
1777999949,14,250,calibration,perfect,944448
1778999893,10,251,calibration,perfect,601545
1781004538,6,252,calibration,perfect,798938
1782999990,3,253,calibration,perfect,1206787
1784000039,13,254,calibration,perfect,1087484
1786000016,0,255,calibration,perfect,539870
1787000365,1,256,calibration,perfect,1235172
1787000913,2,257,calibration,perfect,715794
1792000054,7,258,calibration,perfect,328934
1795999673,4,259,calibration,perfect,924485
1800000484,15,260,calibration,perfect,863079
1802999759,11,261,calibration,perfect,1027558
1803000974,9,262,calibration,perfect,898432
1806000128,8,263,calibration,perfect,755987
1810001902,12,264,calibration,perfect,531098
1810999903,5,265,calibration,perfect,1128698
1820000133,14,266,calibration,perfect,960345
1822000321,10,267,calibration,perfect,853275
1826004508,6,268,calibration,perfect,625989
1829999966,0,269,calibration,perfect,955982
1830999601,1,270,calibration,perfect,335983
1831000295,13,271,calibration,perfect,189488
1831999749,2,272,calibration,perfect,997396
