id,lane,target_ns,stage
0,11,1000668691,calibration
1,12,1004448616,calibration
2,0,1006200303,calibration
3,4,1006273244,calibration
4,2,1006413194,calibration
5,6,1008033809,calibration
6,15,1008593005,calibration
7,1,1013123823,calibration
8,9,1015972909,calibration
9,7,1020295956,calibration
10,8,1020569414,calibration
11,3,1022959105,calibration
12,10,1024196833,calibration
13,5,1026419543,calibration
14,14,1029742112,calibration
15,13,1030149526,calibration
16,11,1041782776,calibration
17,4,1050081102,calibration
18,15,1056036588,calibration
19,2,1059036030,calibration
20,0,1059301767,calibration
21,9,1060051488,calibration
22,6,1062108201,calibration
23,12,1062201743,calibration
24,7,1063464190,calibration
25,8,1070993516,calibration
26,13,1071832722,calibration
27,14,1072566621,calibration
28,1,1073014928,calibration
29,5,1073033115,calibration
30,10,1074467944,calibration
31,3,1076513606,calibration
32,11,1084783881,calibration
33,4,1091592546,calibration
34,2,1099662266,calibration
35,15,1100009857,calibration
36,9,1101492730,calibration
37,0,1101565778,calibration
38,12,1102771178,calibration
39,7,1107810057,calibration
40,6,1115326909,calibration
41,5,1115884075,calibration
42,8,1117853724,calibration
43,3,1118719573,calibration
44,1,1121096549,calibration
45,14,1121575757,calibration
46,10,1123495469,calibration
47,13,1123917297,calibration
48,11,1125163251,calibration
49,4,1133517676,calibration
50,15,1140486651,calibration
51,9,1141726897,calibration
52,2,1142034636,calibration
53,12,1146048560,calibration
54,0,1146590531,calibration
55,7,1151530156,calibration
56,8,1160375274,calibration
57,6,1163496499,calibration
58,5,1163605817,calibration
59,1,1168925601,calibration
60,11,1169570313,calibration
61,10,1173069620,calibration
62,3,1173681543,calibration
63,2,1183156628,calibration
64,9,1185434026,calibration
65,12,1191655735,calibration
66,13,1193460037,calibration
67,0,1195141431,calibration
68,4,1195145876,calibration
69,14,1199169206,calibration
70,15,1202136702,calibration
71,7,1206956225,calibration
72,6,1207113386,calibration
73,5,1207124515,calibration
74,8,1207244861,calibration
75,11,1209911562,calibration
76,1,1212791853,calibration
77,3,1213994286,calibration
78,10,1218887828,calibration
79,2,1223981702,calibration
80,9,1226281026,calibration
81,13,1233473109,calibration
82,12,1238853456,calibration
83,4,1242388901,calibration
84,14,1243506450,calibration
85,15,1243684238,calibration
86,0,1250670872,calibration
87,7,1258748934,calibration
88,10,1262788562,calibration
89,8,1273091798,calibration
90,3,1273795626,calibration
91,11,1274488524,calibration
92,2,1275578087,calibration
93,6,1276815051,calibration
94,1,1279777555,calibration
95,9,1280402371,calibration
96,13,1281902949,calibration
97,5,1283241160,calibration
98,14,1284999546,calibration
99,15,1285160340,calibration
100,12,1287438470,calibration
101,4,1290226435,calibration
102,0,1295000255,calibration
103,7,1301905269,calibration
104,10,1305598489,calibration
105,8,1314550865,calibration
106,11,1316598443,calibration
107,6,1320387860,calibration
108,9,1321421081,calibration
109,13,1322769524,calibration
110,3,1324684705,calibration
111,5,1328670364,calibration
112,14,1333716943,calibration
113,15,1334427381,calibration
114,0,1335428832,calibration
115,12,1336959358,calibration
116,4,1338933459,calibration
117,1,1347802006,calibration
118,2,1351892746,calibration
119,7,1353812087,calibration
120,10,1354287516,calibration
121,8,1354959436,calibration
122,11,1357740423,calibration
123,9,1363187141,calibration
124,6,1364236746,calibration
125,3,1367092031,calibration
126,13,1368949997,calibration
127,5,1371230724,calibration
128,15,1374837960,calibration
129,0,1385993345,calibration
130,12,1393090752,calibration
131,2,1395240491,calibration
132,7,1397069105,calibration
133,14,1400225415,calibration
134,10,1400715268,calibration
135,11,1401344761,calibration
136,1,1403836101,calibration
137,9,1405650924,calibration
138,8,1406498643,calibration
139,4,1407883169,calibration
140,6,1408838437,calibration
141,13,1409028437,calibration
142,3,1410143449,calibration
143,5,1414960199,calibration
144,15,1415406047,calibration
145,0,1426017467,calibration
146,12,1435664841,calibration
147,2,1436314112,calibration
148,14,1443536060,calibration
149,1,1447891224,calibration
150,6,1457061412,calibration
151,13,1458799981,calibration
152,10,1458883082,calibration
153,8,1469033265,calibration
154,3,1469914114,calibration
155,7,1472776953,calibration
156,11,1473692539,calibration
157,9,1474526748,calibration
158,12,1477523525,calibration
159,4,1478044207,calibration
160,15,1478122452,calibration
161,0,1479564624,calibration
162,5,1480807527,calibration
163,2,1493077031,calibration
164,14,1497113993,calibration
165,6,1497180740,calibration
166,1,1498573430,calibration
167,13,1503709758,calibration
168,8,1509274373,calibration
169,10,1512861868,calibration
170,7,1514176154,calibration
171,3,1516266638,calibration
172,4,1519502515,calibration
173,9,1523561874,calibration
174,15,1526888267,calibration
175,12,1527594929,calibration
176,5,1532066445,calibration
177,0,1533025910,calibration
178,11,1533679400,calibration
179,1,1540374382,calibration
180,14,1540649061,calibration
181,6,1543534440,calibration
182,2,1549032806,calibration
183,8,1549449090,calibration
184,13,1551914010,calibration
185,10,1553752359,calibration
186,7,1555328407,calibration
187,4,1562020739,calibration
