kind,index,duration_ns
frame_gap,0,12459001
frame_gap,1,12523288
frame_gap,2,12557398
frame_gap,3,12397380
frame_gap,4,12518504
frame_gap,5,12478308
frame_gap,6,13872691
frame_gap,7,11145204
frame_gap,8,12497795
frame_gap,9,12501703
frame_gap,10,12573639
frame_gap,11,12387434
frame_gap,12,12577913
frame_gap,13,12426100
frame_gap,14,12708950
frame_gap,15,12297940
frame_gap,16,12685296
frame_gap,17,12309956
frame_gap,18,12616757
frame_gap,19,12408698
frame_gap,20,12545237
frame_gap,21,12464981
frame_gap,22,12573713
frame_gap,23,12405503
frame_gap,24,12583409
frame_gap,25,12501132
frame_gap,26,12537689
frame_gap,27,12364739
frame_gap,28,12532545
frame_gap,29,12561402
frame_gap,30,12502474
frame_gap,31,12395827
frame_gap,32,12543058
frame_gap,33,12461922
frame_gap,34,12615446
frame_gap,35,12375260
frame_gap,36,12574238
frame_gap,37,12478032
frame_gap,38,12576644
frame_gap,39,12395317
frame_gap,40,12549137
frame_gap,41,12471858
frame_gap,42,12601515
frame_gap,43,12363325
frame_gap,44,12712449
frame_gap,45,12357844
frame_gap,46,12577099
frame_gap,47,12476452
frame_gap,48,12439702
frame_gap,49,12587513
frame_gap,50,12511581
frame_gap,51,12402482
frame_gap,52,12507253
frame_gap,53,12526033
frame_gap,54,12551797
frame_gap,55,12437736
frame_gap,56,12475304
frame_gap,57,12452630
frame_gap,58,12601688
frame_gap,59,12390708
frame_gap,60,12559737
frame_gap,61,12469554
frame_gap,62,12583383
frame_gap,63,12371121
frame_gap,64,12666247
frame_gap,65,12356013
frame_gap,66,12694609
frame_gap,67,12359724
frame_gap,68,12497427
frame_gap,69,12429935
frame_gap,70,12617238
frame_gap,71,12403877
frame_gap,72,12553085
frame_gap,73,12436574
frame_gap,74,12556429
frame_gap,75,12424144
frame_gap,76,12611089
frame_gap,77,12418438
frame_gap,78,12609591
frame_gap,79,12367496
frame_gap,80,12664275
frame_gap,81,12441206
frame_gap,82,12464163
frame_gap,83,12448269
frame_gap,84,12637463
frame_gap,85,12365289
frame_gap,86,12607942
frame_gap,87,12411771
frame_gap,88,12536928
frame_gap,89,12433996
frame_gap,90,12613689
frame_gap,91,12391713
frame_gap,92,12670165
frame_gap,93,12322596
frame_gap,94,12605638
frame_gap,95,12424244
frame_gap,96,12539847
frame_gap,97,12438090
frame_gap,98,12657246
frame_gap,99,12335949
frame_gap,100,12625048
frame_gap,101,12396752
frame_gap,102,12592858
frame_gap,103,12389745
frame_gap,104,12565599
frame_gap,105,12471198
frame_gap,106,12574170
frame_gap,107,12391296
frame_gap,108,12591339
frame_gap,109,12405574
frame_gap,110,12612402
frame_gap,111,12377302
frame_gap,112,12662675
frame_gap,113,12459340
frame_gap,114,12472389
frame_gap,115,12407187
frame_gap,116,12601904
frame_gap,117,12403626
frame_gap,118,12628763
frame_gap,119,12362934
frame_gap,120,12575950
frame_gap,121,12548094
frame_gap,122,12508800
frame_gap,123,12490295
frame_gap,124,12488768
frame_gap,125,12405770
frame_gap,126,12611910
frame_gap,127,12463145
frame_gap,128,12487433
frame_gap,129,12642968
frame_gap,130,12353109
frame_gap,131,12528081
frame_gap,132,12442809
frame_gap,133,12467311
frame_gap,134,12609930
frame_gap,135,12454299
frame_gap,136,12514034
frame_gap,137,12496632
frame_gap,138,12547124
frame_gap,139,12368754
frame_gap,140,12636023
frame_gap,141,12371656
frame_gap,142,12649763
frame_gap,143,12433056
frame_gap,144,12667986
frame_gap,145,12288790
frame_gap,146,12605525
frame_gap,147,12350230
frame_gap,148,12568254
frame_gap,149,12437208
frame_gap,150,12630484
frame_gap,151,12367179
frame_gap,152,12711276
frame_gap,153,12289873
frame_gap,154,12628099
frame_gap,155,12380911
frame_gap,156,12560780
frame_gap,157,12544208
frame_gap,158,12550846
frame_gap,159,12402045
frame_gap,160,12499730
frame_gap,161,12468934
frame_gap,162,12565770
frame_gap,163,12432149
frame_gap,164,12504703
frame_gap,165,12535357
frame_gap,166,12804652
frame_gap,167,12157829
frame_gap,168,12521050
frame_gap,169,12480955
frame_gap,170,12563908
frame_gap,171,12395209
frame_gap,172,12572296
frame_gap,173,12445195
frame_gap,174,12558682
frame_gap,175,12443821
frame_gap,176,12669079
frame_gap,177,12325020
frame_gap,178,12578511
frame_gap,179,12435072
frame_gap,180,12542691
frame_gap,181,12448984
frame_gap,182,12577833
frame_gap,183,12533475
frame_gap,184,12486031
frame_gap,185,12390705
frame_gap,186,12591356
frame_gap,187,12423818
frame_gap,188,12545454
frame_gap,189,12434184
frame_gap,190,12699522
frame_gap,191,12361501
frame_gap,192,12566455
