id,lane,target_ns,stage
0,1,1345633608,calibration
1,1,1470952537,calibration
2,0,1534615149,calibration
3,1,1547584757,calibration
4,0,1586100232,calibration
5,1,1627200100,calibration
6,0,1652023910,calibration
7,1,1766821442,calibration
8,0,1774183149,calibration
9,1,1826533549,calibration
10,0,2107995077,calibration
11,1,2136165507,calibration
12,1,2656093514,calibration
13,1,2766830848,calibration
14,1,2938046972,calibration
15,0,3001149565,calibration
16,1,3034188298,calibration
17,1,3114388351,calibration
18,0,3174734065,calibration
19,1,3205978701,calibration
20,0,3450066468,calibration
21,1,3514527069,calibration
22,0,3832038698,calibration
23,1,3845501132,calibration
24,1,4060189246,calibration
25,0,4067812554,calibration
26,1,4107154776,calibration
27,0,4155457537,calibration
28,0,4327263244,calibration
29,1,4544145534,calibration
30,0,4690407211,calibration
31,1,4706212145,calibration
32,1,4771951715,calibration
33,0,4795400398,calibration
34,0,5051776458,calibration
35,0,5191288096,calibration
36,0,5286732714,calibration
37,1,5291980475,calibration
38,0,5348943858,calibration
39,1,5353595780,calibration
40,0,5488793144,calibration
41,1,5588750841,calibration
42,0,5616031072,calibration
43,0,5689836940,calibration
44,1,5697971004,calibration
45,1,5832933533,calibration
46,1,5927095193,calibration
47,1,11211506438,scored
48,0,11346085465,scored
49,0,11493617160,scored
50,1,11504143602,scored
51,0,11643350627,scored
52,1,11774686518,scored
53,0,11798502913,scored
54,1,11892148806,scored
55,0,11904866408,scored
56,1,11974949097,scored
57,1,12175066877,scored
58,0,12183818751,scored
59,0,12288972392,scored
60,0,12331669341,scored
61,1,12449205904,scored
62,0,12452754652,scored
63,1,12491618618,scored
64,0,12502679135,scored
65,1,12651373647,scored
66,0,12658281914,scored
67,0,12760219581,scored
68,1,13571829839,scored
69,0,13661259603,scored
70,0,13701985300,scored
71,1,13805050120,scored
72,0,13916741140,scored
73,1,13918028382,scored
74,0,13983675406,scored
75,1,14156145973,scored
76,1,14216824473,scored
77,0,14315033328,scored
78,0,15036387904,scored
79,1,15078256504,scored
80,0,15128925455,scored
81,1,15232853705,scored
82,0,15268326001,scored
83,0,15659868334,scored
84,1,15691715394,scored
85,1,15737890866,scored
86,1,15828787976,scored
87,0,16046067582,scored
88,0,16873948785,scored
89,1,17008058781,scored
90,1,17222179913,scored
91,0,17450255060,scored
92,1,17654482536,scored
93,1,17801755016,scored
94,0,17892019069,scored
95,1,18352308472,scored
96,1,18512727425,scored
97,1,18636238201,scored
98,0,18822974960,scored
99,1,18896642783,scored
100,0,18903729700,scored
101,0,19160401292,scored
102,0,19267662351,scored
103,0,19331862977,scored
104,1,19338699376,scored
105,1,19534316719,scored
106,0,19600766480,scored
107,1,19619385182,scored
